Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,Others are starting to notice my self acceptance and improved confidence,positive,,Translated: Others are starting to notice my self acceptance and improved confidence to bg,Translated: Others are starting to notice my self acceptance and improved confidence to hr,Translated: Others are starting to notice my self acceptance and improved confidence to cs,Translated: Others are starting to notice my self acceptance and improved confidence to da,Translated: Others are starting to notice my self acceptance and improved confidence to nl,Translated: Others are starting to notice my self acceptance and improved confidence to en,Translated: Others are starting to notice my self acceptance and improved confidence to et
,,,I am discovering more wonderful things about myself with each passing day,positive,,Translated: I am discovering more wonderful things about myself with each passing day to bg,Translated: I am discovering more wonderful things about myself with each passing day to hr,Translated: I am discovering more wonderful things about myself with each passing day to cs,Translated: I am discovering more wonderful things about myself with each passing day to da,Translated: I am discovering more wonderful things about myself with each passing day to nl,Translated: I am discovering more wonderful things about myself with each passing day to en,Translated: I am discovering more wonderful things about myself with each passing day to et
,,,I am beginning to truly love myself,positive,,Translated: I am beginning to truly love myself to bg,Translated: I am beginning to truly love myself to hr,Translated: I am beginning to truly love myself to cs,Translated: I am beginning to truly love myself to da,Translated: I am beginning to truly love myself to nl,Translated: I am beginning to truly love myself to en,Translated: I am beginning to truly love myself to et
,,,Loving myself feels more natural and effortless,positive,,Translated: Loving myself feels more natural and effortless to bg,Translated: Loving myself feels more natural and effortless to hr,Translated: Loving myself feels more natural and effortless to cs,Translated: Loving myself feels more natural and effortless to da,Translated: Loving myself feels more natural and effortless to nl,Translated: Loving myself feels more natural and effortless to en,Translated: Loving myself feels more natural and effortless to et
,,,I will always accept myself unconditionally,positive,,Translated: I will always accept myself unconditionally to bg,Translated: I will always accept myself unconditionally to hr,Translated: I will always accept myself unconditionally to cs,Translated: I will always accept myself unconditionally to da,Translated: I will always accept myself unconditionally to nl,Translated: I will always accept myself unconditionally to en,Translated: I will always accept myself unconditionally to et
,,,I AM CONFIDENT AND BELIEVE IN MYSELF,positive,,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to bg,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to hr,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to cs,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to da,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to nl,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to en,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to et
,,,"I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH",positive,,"Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to bg","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to hr","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to cs","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to da","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to nl","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to en","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to et"
,,,CONFIDENCE SHINES THROUGH ME,positive,,Translated: CONFIDENCE SHINES THROUGH ME to bg,Translated: CONFIDENCE SHINES THROUGH ME to hr,Translated: CONFIDENCE SHINES THROUGH ME to cs,Translated: CONFIDENCE SHINES THROUGH ME to da,Translated: CONFIDENCE SHINES THROUGH ME to nl,Translated: CONFIDENCE SHINES THROUGH ME to en,Translated: CONFIDENCE SHINES THROUGH ME to et
,,,Loving myself is essential to my happiness,positive,,Translated: Loving myself is essential to my happiness to bg,Translated: Loving myself is essential to my happiness to hr,Translated: Loving myself is essential to my happiness to cs,Translated: Loving myself is essential to my happiness to da,Translated: Loving myself is essential to my happiness to nl,Translated: Loving myself is essential to my happiness to en,Translated: Loving myself is essential to my happiness to et
,,,I deserve to go after my goals and do what makes me happy,positive,,Translated: I deserve to go after my goals and do what makes me happy to bg,Translated: I deserve to go after my goals and do what makes me happy to hr,Translated: I deserve to go after my goals and do what makes me happy to cs,Translated: I deserve to go after my goals and do what makes me happy to da,Translated: I deserve to go after my goals and do what makes me happy to nl,Translated: I deserve to go after my goals and do what makes me happy to en,Translated: I deserve to go after my goals and do what makes me happy to et
,,,I find it easy to recognize my positive qualities,positive,,Translated: I find it easy to recognize my positive qualities to bg,Translated: I find it easy to recognize my positive qualities to hr,Translated: I find it easy to recognize my positive qualities to cs,Translated: I find it easy to recognize my positive qualities to da,Translated: I find it easy to recognize my positive qualities to nl,Translated: I find it easy to recognize my positive qualities to en,Translated: I find it easy to recognize my positive qualities to et
,,,Being happy with myself is a normal part of my every day life,positive,,Translated: Being happy with myself is a normal part of my every day life to bg,Translated: Being happy with myself is a normal part of my every day life to hr,Translated: Being happy with myself is a normal part of my every day life to cs,Translated: Being happy with myself is a normal part of my every day life to da,Translated: Being happy with myself is a normal part of my every day life to nl,Translated: Being happy with myself is a normal part of my every day life to en,Translated: Being happy with myself is a normal part of my every day life to et
,,,I find it easy to be confident and comfortable with who I am,positive,,Translated: I find it easy to be confident and comfortable with who I am to bg,Translated: I find it easy to be confident and comfortable with who I am to hr,Translated: I find it easy to be confident and comfortable with who I am to cs,Translated: I find it easy to be confident and comfortable with who I am to da,Translated: I find it easy to be confident and comfortable with who I am to nl,Translated: I find it easy to be confident and comfortable with who I am to en,Translated: I find it easy to be confident and comfortable with who I am to et
,,,Accepting myself unconditionally gives me the power to succeed,positive,,Translated: Accepting myself unconditionally gives me the power to succeed to bg,Translated: Accepting myself unconditionally gives me the power to succeed to hr,Translated: Accepting myself unconditionally gives me the power to succeed to cs,Translated: Accepting myself unconditionally gives me the power to succeed to da,Translated: Accepting myself unconditionally gives me the power to succeed to nl,Translated: Accepting myself unconditionally gives me the power to succeed to en,Translated: Accepting myself unconditionally gives me the power to succeed to et
,,,I know I have the right to be happy and nothing can take that away from me,positive,,Translated: I know I have the right to be happy and nothing can take that away from me to bg,Translated: I know I have the right to be happy and nothing can take that away from me to hr,Translated: I know I have the right to be happy and nothing can take that away from me to cs,Translated: I know I have the right to be happy and nothing can take that away from me to da,Translated: I know I have the right to be happy and nothing can take that away from me to nl,Translated: I know I have the right to be happy and nothing can take that away from me to en,Translated: I know I have the right to be happy and nothing can take that away from me to et
,,,Loving myself and being happy with who I am comes naturally to me,positive,,Translated: Loving myself and being happy with who I am comes naturally to me to bg,Translated: Loving myself and being happy with who I am comes naturally to me to hr,Translated: Loving myself and being happy with who I am comes naturally to me to cs,Translated: Loving myself and being happy with who I am comes naturally to me to da,Translated: Loving myself and being happy with who I am comes naturally to me to nl,Translated: Loving myself and being happy with who I am comes naturally to me to en,Translated: Loving myself and being happy with who I am comes naturally to me to et
,,,I truly like myself and this helps others to accept me for who I am,positive,,Translated: I truly like myself and this helps others to accept me for who I am to bg,Translated: I truly like myself and this helps others to accept me for who I am to hr,Translated: I truly like myself and this helps others to accept me for who I am to cs,Translated: I truly like myself and this helps others to accept me for who I am to da,Translated: I truly like myself and this helps others to accept me for who I am to nl,Translated: I truly like myself and this helps others to accept me for who I am to en,Translated: I truly like myself and this helps others to accept me for who I am to et
,,,I have a natural awareness of all the positive things in my life,positive,,Translated: I have a natural awareness of all the positive things in my life to bg,Translated: I have a natural awareness of all the positive things in my life to hr,Translated: I have a natural awareness of all the positive things in my life to cs,Translated: I have a natural awareness of all the positive things in my life to da,Translated: I have a natural awareness of all the positive things in my life to nl,Translated: I have a natural awareness of all the positive things in my life to en,Translated: I have a natural awareness of all the positive things in my life to et
,,,"I FEEL CAPABLE, WORTHY AND STRONG",positive,,"Translated: I FEEL CAPABLE, WORTHY AND STRONG to bg","Translated: I FEEL CAPABLE, WORTHY AND STRONG to hr","Translated: I FEEL CAPABLE, WORTHY AND STRONG to cs","Translated: I FEEL CAPABLE, WORTHY AND STRONG to da","Translated: I FEEL CAPABLE, WORTHY AND STRONG to nl","Translated: I FEEL CAPABLE, WORTHY AND STRONG to en","Translated: I FEEL CAPABLE, WORTHY AND STRONG to et"
,,,ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME,positive,,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to bg,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to hr,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to cs,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to da,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to nl,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to en,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to et
,,,I FEEL CONFIDENT IN MYSELF,positive,,Translated: I FEEL CONFIDENT IN MYSELF to bg,Translated: I FEEL CONFIDENT IN MYSELF to hr,Translated: I FEEL CONFIDENT IN MYSELF to cs,Translated: I FEEL CONFIDENT IN MYSELF to da,Translated: I FEEL CONFIDENT IN MYSELF to nl,Translated: I FEEL CONFIDENT IN MYSELF to en,Translated: I FEEL CONFIDENT IN MYSELF to et
,,,I am confident,positive,,Translated: I am confident to bg,Translated: I am confident to hr,Translated: I am confident to cs,Translated: I am confident to da,Translated: I am confident to nl,Translated: I am confident to en,Translated: I am confident to et
,,,I am strong and powerful,positive,,Translated: I am strong and powerful to bg,Translated: I am strong and powerful to hr,Translated: I am strong and powerful to cs,Translated: I am strong and powerful to da,Translated: I am strong and powerful to nl,Translated: I am strong and powerful to en,Translated: I am strong and powerful to et
,,,I boldly go after what I want in life,positive,,Translated: I boldly go after what I want in life to bg,Translated: I boldly go after what I want in life to hr,Translated: I boldly go after what I want in life to cs,Translated: I boldly go after what I want in life to da,Translated: I boldly go after what I want in life to nl,Translated: I boldly go after what I want in life to en,Translated: I boldly go after what I want in life to et
,,,I am outgoing and confident in social situations,positive,,Translated: I am outgoing and confident in social situations to bg,Translated: I am outgoing and confident in social situations to hr,Translated: I am outgoing and confident in social situations to cs,Translated: I am outgoing and confident in social situations to da,Translated: I am outgoing and confident in social situations to nl,Translated: I am outgoing and confident in social situations to en,Translated: I am outgoing and confident in social situations to et
,,,I believe in myself,positive,,Translated: I believe in myself to bg,Translated: I believe in myself to hr,Translated: I believe in myself to cs,Translated: I believe in myself to da,Translated: I believe in myself to nl,Translated: I believe in myself to en,Translated: I believe in myself to et
,,,I always stand up for myself and my beliefs,positive,,Translated: I always stand up for myself and my beliefs to bg,Translated: I always stand up for myself and my beliefs to hr,Translated: I always stand up for myself and my beliefs to cs,Translated: I always stand up for myself and my beliefs to da,Translated: I always stand up for myself and my beliefs to nl,Translated: I always stand up for myself and my beliefs to en,Translated: I always stand up for myself and my beliefs to et
,,,I confidently meet any challenge,positive,,Translated: I confidently meet any challenge to bg,Translated: I confidently meet any challenge to hr,Translated: I confidently meet any challenge to cs,Translated: I confidently meet any challenge to da,Translated: I confidently meet any challenge to nl,Translated: I confidently meet any challenge to en,Translated: I confidently meet any challenge to et
,,,I confidently speak my mind without hesitation,positive,,Translated: I confidently speak my mind without hesitation to bg,Translated: I confidently speak my mind without hesitation to hr,Translated: I confidently speak my mind without hesitation to cs,Translated: I confidently speak my mind without hesitation to da,Translated: I confidently speak my mind without hesitation to nl,Translated: I confidently speak my mind without hesitation to en,Translated: I confidently speak my mind without hesitation to et
,,,Others look up to me as a leader because of my confidence,positive,,Translated: Others look up to me as a leader because of my confidence to bg,Translated: Others look up to me as a leader because of my confidence to hr,Translated: Others look up to me as a leader because of my confidence to cs,Translated: Others look up to me as a leader because of my confidence to da,Translated: Others look up to me as a leader because of my confidence to nl,Translated: Others look up to me as a leader because of my confidence to en,Translated: Others look up to me as a leader because of my confidence to et
,,,I always express my thoughts and opinions with confidence,positive,,Translated: I always express my thoughts and opinions with confidence to bg,Translated: I always express my thoughts and opinions with confidence to hr,Translated: I always express my thoughts and opinions with confidence to cs,Translated: I always express my thoughts and opinions with confidence to da,Translated: I always express my thoughts and opinions with confidence to nl,Translated: I always express my thoughts and opinions with confidence to en,Translated: I always express my thoughts and opinions with confidence to et
,,,I AM CONFIDENT AND FILLED WITH STRENGTH,positive,,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to bg,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to hr,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to cs,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to da,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to nl,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to en,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to et
,,,I BREATHE AND MOVE WITH CONFIDENCE,positive,,Translated: I BREATHE AND MOVE WITH CONFIDENCE to bg,Translated: I BREATHE AND MOVE WITH CONFIDENCE to hr,Translated: I BREATHE AND MOVE WITH CONFIDENCE to cs,Translated: I BREATHE AND MOVE WITH CONFIDENCE to da,Translated: I BREATHE AND MOVE WITH CONFIDENCE to nl,Translated: I BREATHE AND MOVE WITH CONFIDENCE to en,Translated: I BREATHE AND MOVE WITH CONFIDENCE to et
,,,MY CONFIDENCE EMPOWERS ME TO DREAM BIG,positive,,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to bg,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to hr,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to cs,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to da,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to nl,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to en,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to et
,,,I will become confident,positive,,Translated: I will become confident to bg,Translated: I will become confident to hr,Translated: I will become confident to cs,Translated: I will become confident to da,Translated: I will become confident to nl,Translated: I will become confident to en,Translated: I will become confident to et
,,,My confidence is increasing,positive,,Translated: My confidence is increasing to bg,Translated: My confidence is increasing to hr,Translated: My confidence is increasing to cs,Translated: My confidence is increasing to da,Translated: My confidence is increasing to nl,Translated: My confidence is increasing to en,Translated: My confidence is increasing to et
,,,I will always believe in myself and my ability to succeed,positive,,Translated: I will always believe in myself and my ability to succeed to bg,Translated: I will always believe in myself and my ability to succeed to hr,Translated: I will always believe in myself and my ability to succeed to cs,Translated: I will always believe in myself and my ability to succeed to da,Translated: I will always believe in myself and my ability to succeed to nl,Translated: I will always believe in myself and my ability to succeed to en,Translated: I will always believe in myself and my ability to succeed to et
,,,"Every day I become more confident, powerful, and assertive",positive,,"Translated: Every day I become more confident, powerful, and assertive to bg","Translated: Every day I become more confident, powerful, and assertive to hr","Translated: Every day I become more confident, powerful, and assertive to cs","Translated: Every day I become more confident, powerful, and assertive to da","Translated: Every day I become more confident, powerful, and assertive to nl","Translated: Every day I become more confident, powerful, and assertive to en","Translated: Every day I become more confident, powerful, and assertive to et"
,,,I am becoming more sure of myself with each passing day,positive,,Translated: I am becoming more sure of myself with each passing day to bg,Translated: I am becoming more sure of myself with each passing day to hr,Translated: I am becoming more sure of myself with each passing day to cs,Translated: I am becoming more sure of myself with each passing day to da,Translated: I am becoming more sure of myself with each passing day to nl,Translated: I am becoming more sure of myself with each passing day to en,Translated: I am becoming more sure of myself with each passing day to et
,,,I am finding it easier to have confidence in myself,positive,,Translated: I am finding it easier to have confidence in myself to bg,Translated: I am finding it easier to have confidence in myself to hr,Translated: I am finding it easier to have confidence in myself to cs,Translated: I am finding it easier to have confidence in myself to da,Translated: I am finding it easier to have confidence in myself to nl,Translated: I am finding it easier to have confidence in myself to en,Translated: I am finding it easier to have confidence in myself to et
,,,I am starting to confidently assert my thoughts and opinions,positive,,Translated: I am starting to confidently assert my thoughts and opinions to bg,Translated: I am starting to confidently assert my thoughts and opinions to hr,Translated: I am starting to confidently assert my thoughts and opinions to cs,Translated: I am starting to confidently assert my thoughts and opinions to da,Translated: I am starting to confidently assert my thoughts and opinions to nl,Translated: I am starting to confidently assert my thoughts and opinions to en,Translated: I am starting to confidently assert my thoughts and opinions to et
,,,I will always meet a difficult challenge with confident action,positive,,Translated: I will always meet a difficult challenge with confident action to bg,Translated: I will always meet a difficult challenge with confident action to hr,Translated: I will always meet a difficult challenge with confident action to cs,Translated: I will always meet a difficult challenge with confident action to da,Translated: I will always meet a difficult challenge with confident action to nl,Translated: I will always meet a difficult challenge with confident action to en,Translated: I will always meet a difficult challenge with confident action to et
,,,I am transforming into someone who always stands up for what they believe in,positive,,Translated: I am transforming into someone who always stands up for what they believe in to bg,Translated: I am transforming into someone who always stands up for what they believe in to hr,Translated: I am transforming into someone who always stands up for what they believe in to cs,Translated: I am transforming into someone who always stands up for what they believe in to da,Translated: I am transforming into someone who always stands up for what they believe in to nl,Translated: I am transforming into someone who always stands up for what they believe in to en,Translated: I am transforming into someone who always stands up for what they believe in to et
,,,Others are starting to notice my self confidence,positive,,Translated: Others are starting to notice my self confidence to bg,Translated: Others are starting to notice my self confidence to hr,Translated: Others are starting to notice my self confidence to cs,Translated: Others are starting to notice my self confidence to da,Translated: Others are starting to notice my self confidence to nl,Translated: Others are starting to notice my self confidence to en,Translated: Others are starting to notice my self confidence to et
,,,"I FEEL CONFIDENT, STRONG AND EMPOWERED",positive,,"Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to bg","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to hr","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to cs","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to da","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to nl","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to en","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to et"
,,,My confidence strengthens me,positive,,Translated: My confidence strengthens me to bg,Translated: My confidence strengthens me to hr,Translated: My confidence strengthens me to cs,Translated: My confidence strengthens me to da,Translated: My confidence strengthens me to nl,Translated: My confidence strengthens me to en,Translated: My confidence strengthens me to et
,,,THOUGHTS OF CONFIDENCE MAKE ME STRONGER,positive,,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to bg,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to hr,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to cs,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to da,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to nl,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to en,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to et
,,,MY CONFIDENCE EMPOWERS ME,positive,,Translated: MY CONFIDENCE EMPOWERS ME to bg,Translated: MY CONFIDENCE EMPOWERS ME to hr,Translated: MY CONFIDENCE EMPOWERS ME to cs,Translated: MY CONFIDENCE EMPOWERS ME to da,Translated: MY CONFIDENCE EMPOWERS ME to nl,Translated: MY CONFIDENCE EMPOWERS ME to en,Translated: MY CONFIDENCE EMPOWERS ME to et
,,,I am naturally confident,positive,,Translated: I am naturally confident to bg,Translated: I am naturally confident to hr,Translated: I am naturally confident to cs,Translated: I am naturally confident to da,Translated: I am naturally confident to nl,Translated: I am naturally confident to en,Translated: I am naturally confident to et
,,,I have unbreakable confidence within myself,positive,,Translated: I have unbreakable confidence within myself to bg,Translated: I have unbreakable confidence within myself to hr,Translated: I have unbreakable confidence within myself to cs,Translated: I have unbreakable confidence within myself to da,Translated: I have unbreakable confidence within myself to nl,Translated: I have unbreakable confidence within myself to en,Translated: I have unbreakable confidence within myself to et
,,,My confidence commands respect and attention,positive,,Translated: My confidence commands respect and attention to bg,Translated: My confidence commands respect and attention to hr,Translated: My confidence commands respect and attention to cs,Translated: My confidence commands respect and attention to da,Translated: My confidence commands respect and attention to nl,Translated: My confidence commands respect and attention to en,Translated: My confidence commands respect and attention to et
,,,I enjoy being confident and outgoing in social situations,positive,,Translated: I enjoy being confident and outgoing in social situations to bg,Translated: I enjoy being confident and outgoing in social situations to hr,Translated: I enjoy being confident and outgoing in social situations to cs,Translated: I enjoy being confident and outgoing in social situations to da,Translated: I enjoy being confident and outgoing in social situations to nl,Translated: I enjoy being confident and outgoing in social situations to en,Translated: I enjoy being confident and outgoing in social situations to et
,,,I impress others with my confident assertiveness,positive,,Translated: I impress others with my confident assertiveness to bg,Translated: I impress others with my confident assertiveness to hr,Translated: I impress others with my confident assertiveness to cs,Translated: I impress others with my confident assertiveness to da,Translated: I impress others with my confident assertiveness to nl,Translated: I impress others with my confident assertiveness to en,Translated: I impress others with my confident assertiveness to et
,,,Confidence empowers me to take action and live life to the fullest,positive,,Translated: Confidence empowers me to take action and live life to the fullest to bg,Translated: Confidence empowers me to take action and live life to the fullest to hr,Translated: Confidence empowers me to take action and live life to the fullest to cs,Translated: Confidence empowers me to take action and live life to the fullest to da,Translated: Confidence empowers me to take action and live life to the fullest to nl,Translated: Confidence empowers me to take action and live life to the fullest to en,Translated: Confidence empowers me to take action and live life to the fullest to et
