Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation
,,,I attract positive and healthy relationships.,positive,,Translated: I attract positive and healthy relationships. to bg
,,,I am deserving of deep and meaningful connections.,positive,,Translated: I am deserving of deep and meaningful connections. to bg
,,,I will develop an unshakeable self belief,positive,,Translated: I will develop an unshakeable self belief to bg
,,,Each day I feel more powerful and capable,positive,,Translated: Each day I feel more powerful and capable to bg
,,,I am transforming into someone who can achieve anything,positive,,Translated: I am transforming into someone who can achieve anything to bg
,,,I will achieve whatever I set my mind to,positive,,Translated: I will achieve whatever I set my mind to to bg
,,,I am starting to feel more and more confident in my abilities,positive,,Translated: I am starting to feel more and more confident in my abilities to bg
,,,"I will always love, respect, and believe in myself unconditionally",positive,,"Translated: I will always love, respect, and believe in myself unconditionally to bg"
,,,Self belief is transforming me into a highly successful person,positive,,Translated: Self belief is transforming me into a highly successful person to bg
,,,Others are beginning to notice my confident attitude,positive,,Translated: Others are beginning to notice my confident attitude to bg
,,,Developing self belief will help me to achieve my goals,positive,,Translated: Developing self belief will help me to achieve my goals to bg
,,,I BRING SUNSHINE TO MY DAYS,positive,,Translated: I BRING SUNSHINE TO MY DAYS to bg
,,,MY HEART IS A HAPPY HEART,positive,,Translated: MY HEART IS A HAPPY HEART to bg
,,,JOY BELONGS TO ME,positive,,Translated: JOY BELONGS TO ME to bg
,,,I believe in myself completely,positive,,Translated: I believe in myself completely to bg
,,,Achieving success is normal for me,positive,,Translated: Achieving success is normal for me to bg
,,,Self belief comes naturally to me,positive,,Translated: Self belief comes naturally to me to bg
,,,I believe that I can achieve anything I want,positive,,Translated: I believe that I can achieve anything I want to bg
,,,Others see me as a highly capable person,positive,,Translated: Others see me as a highly capable person to bg
,,,I am the kind of person who confidently goes after success,positive,,Translated: I am the kind of person who confidently goes after success to bg
,,,It is normal for me to feel great about myself,positive,,Translated: It is normal for me to feel great about myself to bg
,,,I find it easy to pursue my goals with confidence,positive,,Translated: I find it easy to pursue my goals with confidence to bg
,,,I am a high achiever,positive,,Translated: I am a high achiever to bg
,,,I always find a way to succeed,positive,,Translated: I always find a way to succeed to bg
,,,"EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE",positive,,"Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to bg"
,,,HAPPINESS FOLLOWS ME WHEREVER I GO,positive,,Translated: HAPPINESS FOLLOWS ME WHEREVER I GO to bg
,,,I EMBRACE HAPPINESS,positive,,Translated: I EMBRACE HAPPINESS to bg
,,,I am beautiful on the inside and out,positive,,Translated: I am beautiful on the inside and out to bg
,,,I am comfortable with who I am,positive,,Translated: I am comfortable with who I am to bg
,,,I am 100% sure of myself,positive,,Translated: I am 100% sure of myself to bg
,,,I am a natural beauty,positive,,Translated: I am a natural beauty to bg
,,,I am confident,positive,,Translated: I am confident to bg
,,,I am free of negativity,positive,,Translated: I am free of negativity to bg
,,,I find it easy to think positive,positive,,Translated: I find it easy to think positive to bg
,,,I can see true beauty in myself,positive,,Translated: I can see true beauty in myself to bg
,,,I am healthy and attractive,positive,,Translated: I am healthy and attractive to bg
,,,I am beautiful just the way I am,positive,,Translated: I am beautiful just the way I am to bg
,,,"I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER",positive,,"Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to bg"
,,,I KEEP MY MIND FOCUSED ON HAPPINESS,positive,,Translated: I KEEP MY MIND FOCUSED ON HAPPINESS to bg
,,,"I AM HAPPY, SMILING, AND ALWAYS HAVING FUN",positive,,"Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to bg"
,,,I am becoming more comfortable in my own skin by the day,positive,,Translated: I am becoming more comfortable in my own skin by the day to bg
,,,I will become free of negativity,positive,,Translated: I will become free of negativity to bg
,,,I am finding myself more confident each day,positive,,Translated: I am finding myself more confident each day to bg
,,,I am turning into someone who sees themselves as beautiful,positive,,Translated: I am turning into someone who sees themselves as beautiful to bg
,,,I will be proud of my beautiful body,positive,,Translated: I will be proud of my beautiful body to bg
,,,I will recoginize that I have true beauty,positive,,Translated: I will recoginize that I have true beauty to bg
,,,I will see myself as beautiful,positive,,Translated: I will see myself as beautiful to bg
,,,I am turning into a natural beauty,positive,,Translated: I am turning into a natural beauty to bg
,,,I am transforming into a positive thinker,positive,,Translated: I am transforming into a positive thinker to bg
,,,I will be 100% internally validated,positive,,Translated: I will be 100% internally validated to bg
,,,I make the right choices every time,positive,,Translated: I make the right choices every time to bg
,,,I draw from my inner strength and light.,positive,,Translated: I draw from my inner strength and light. to bg
,,, I trust myself.,positive,,Translated:  I trust myself. to bg
,,,I am comfortable in my own skin,positive,,Translated: I am comfortable in my own skin to bg
,,,I find positive thinking easy,positive,,Translated: I find positive thinking easy to bg
,,,I know I have an attractive and beautiful body,positive,,Translated: I know I have an attractive and beautiful body to bg
,,,When I look in the mirror I see nothing but pure beauty,positive,,Translated: When I look in the mirror I see nothing but pure beauty to bg
,,,Feeling good about who I am is my natural rite,positive,,Translated: Feeling good about who I am is my natural rite to bg
,,,I have an unshakeable belief in my beauty,positive,,Translated: I have an unshakeable belief in my beauty to bg
,,,I enjoy being beautiful,positive,,Translated: I enjoy being beautiful to bg
,,,People are always saying how beautiful I am,positive,,Translated: People are always saying how beautiful I am to bg
,,,People look up to me as a source of beauty,positive,,Translated: People look up to me as a source of beauty to bg
,,,I am worthy of seeing myself as beautiful,positive,,Translated: I am worthy of seeing myself as beautiful to bg
,,,Following my intuition and my heart keeps me safe and sound.,positive,,Translated: Following my intuition and my heart keeps me safe and sound. to bg
,,, I honor virtue.  ,positive,,Translated:  I honor virtue.   to bg
,,, I benefit from gratitude.  ,positive,,Translated:  I benefit from gratitude.   to bg
,,,I am peaceful.  ,positive,,Translated: I am peaceful.   to bg
,,, respect the property of others.  ,positive,,Translated:  respect the property of others.   to bg
,,, I affirm all life is sacred.  ,positive,,Translated:  I affirm all life is sacred.   to bg
,,,I give offerings that are genuine.  ,positive,,Translated: I give offerings that are genuine.   to bg
,,,I live in truth.  ,positive,,Translated: I live in truth.   to bg
,,,I regard all alters with respect.  ,positive,,Translated: I regard all alters with respect.   to bg
,,,I speak with sincerity.  ,positive,,Translated: I speak with sincerity.   to bg
,,, I consume only my fair share.  ,positive,,Translated:  I consume only my fair share.   to bg
,,, I offer words of good intent.  ,positive,,Translated:  I offer words of good intent.   to bg
,,, I relate in peace.  ,positive,,Translated:  I relate in peace.   to bg
,,, I honor animals with reverence.    ,positive,,Translated:  I honor animals with reverence.     to bg
,,, I can be trusted.  ,positive,,Translated:  I can be trusted.   to bg
,,, I care for the Earth.  ,positive,,Translated:  I care for the Earth.   to bg
,,, I keep my own council.  ,positive,,Translated:  I keep my own council.   to bg
,,, I speak positively of others.  ,positive,,Translated:  I speak positively of others.   to bg
,,, I remain in balance with my emotions.  ,positive,,Translated:  I remain in balance with my emotions.   to bg
,,, I am trustful.  ,positive,,Translated:  I am trustful.   to bg
,,, I hold purity in high esteem.  ,positive,,Translated:  I hold purity in high esteem.   to bg
,,, I spread joy.  ,positive,,Translated:  I spread joy.   to bg
,,, I do the best I can.  ,positive,,Translated:  I do the best I can.   to bg
,,, I communicate with compassion.   ,positive,,Translated:  I communicate with compassion.    to bg
,,,I listen to opposing opinions.  ,positive,,Translated: I listen to opposing opinions.   to bg
,,, I create harmony.  ,positive,,Translated:  I create harmony.   to bg
,,, I invoke laughter.  ,positive,,Translated:  I invoke laughter.   to bg
,,,I am open to love in various forms.  ,positive,,Translated: I am open to love in various forms.   to bg
,,, I am forgiving.  ,positive,,Translated:  I am forgiving.   to bg
,,,I am kind.  ,positive,,Translated: I am kind.   to bg
,,, I act respectfully to others.  ,positive,,Translated:  I act respectfully to others.   to bg
,,, I am accepting.  ,positive,,Translated:  I am accepting.   to bg
,,, I follow my inner guidance.  ,positive,,Translated:  I follow my inner guidance.   to bg
,,,I converse with awareness.  ,positive,,Translated: I converse with awareness.   to bg
,,, I do good.  ,positive,,Translated:  I do good.   to bg
,,, I give blessings.   ,positive,,Translated:  I give blessings.    to bg
,,,I keep the waters pure.   ,positive,,Translated: I keep the waters pure.    to bg
,,, I speak with good intent.  ,positive,,Translated:  I speak with good intent.   to bg
,,, I praise the Goddess and the God.   ,positive,,Translated:  I praise the Goddess and the God.    to bg
,,, I am humble.  ,positive,,Translated:  I am humble.   to bg
,,, I achieve with integrity.  ,positive,,Translated:  I achieve with integrity.   to bg
,,, I advance through my own ability.  ,positive,,Translated:  I advance through my own ability.   to bg
,,,I embrace the All.  ,positive,,Translated: I embrace the All.   to bg
,,, I inspire others.  ,positive,,Translated:  I inspire others.   to bg
,,, I empower others.  ,positive,,Translated:  I empower others.   to bg
,,, I lead by example.  ,positive,,Translated:  I lead by example.   to bg
,,, I only react to constructive suggestions.   ,positive,,Translated:  I only react to constructive suggestions.    to bg
,,, I am blessed.  ,positive,,Translated:  I am blessed.   to bg
,,, I see the positive in everything.  ,positive,,Translated:  I see the positive in everything.   to bg
,,," I have complete faith in myself, my creator, and all others.  ",positive,,"Translated:  I have complete faith in myself, my creator, and all others.   to bg"
,,, I love everyone unconditionally.  ,positive,,Translated:  I love everyone unconditionally.   to bg
,,, I remain balanced.  ,positive,,Translated:  I remain balanced.   to bg
,,, I am prudent.  ,positive,,Translated:  I am prudent.   to bg
,,, I am patient.  ,positive,,Translated:  I am patient.   to bg
,,,I am genuine.  ,positive,,Translated: I am genuine.   to bg
,,, I am wise.  ,positive,,Translated:  I am wise.   to bg
,,, I have attained unsurpassed perfect enlightenment for the sake of all sentient beings throughout limitless space.  ,positive,,Translated:  I have attained unsurpassed perfect enlightenment for the sake of all sentient beings throughout limitless space.   to bg
,,,"I express the divine idea in my mind, body, and affairs.  ",positive,,"Translated: I express the divine idea in my mind, body, and affairs.   to bg"
,,, I only desire that which infinite intelligence desires though me; I claim that which is mine by divine right and under grace in a perfect way.  ,positive,,Translated:  I only desire that which infinite intelligence desires though me; I claim that which is mine by divine right and under grace in a perfect way.   to bg
,,," I am a beloved child of the universe and I deserve love, peace, and security.  ",positive,,"Translated:  I am a beloved child of the universe and I deserve love, peace, and security.   to bg"
,,, I open myself to the abundance of the universe.  ,positive,,Translated:  I open myself to the abundance of the universe.   to bg
,,, I am open to receive and accept love.  ,positive,,Translated:  I am open to receive and accept love.   to bg
,,, I am open to receive and be nurtured by the powerful energy of the Earth.  ,positive,,Translated:  I am open to receive and be nurtured by the powerful energy of the Earth.   to bg
,,, I open my heart and mind to receive the power of the universe to use for the greatest good of all sentient beings.  ,positive,,Translated:  I open my heart and mind to receive the power of the universe to use for the greatest good of all sentient beings.   to bg
,,, I welcome opportunities to fulfill my highest potential.    ,positive,,Translated:  I welcome opportunities to fulfill my highest potential.     to bg
,,,I use my will to create the best possible life for myself and all others.    ,positive,,Translated: I use my will to create the best possible life for myself and all others.     to bg
,,, I am open to receive prosperity in all its forms.  ,positive,,Translated:  I am open to receive prosperity in all its forms.   to bg
,,, My heart is open to give and receive love.  ,positive,,Translated:  My heart is open to give and receive love.   to bg
,,,I am achieving perfect harmony and balance in my life.  ,positive,,Translated: I am achieving perfect harmony and balance in my life.   to bg
,,,I flow love into every situation in the sure knowledge that love is flowing into my life.  ,positive,,Translated: I flow love into every situation in the sure knowledge that love is flowing into my life.   to bg
,,, My Higher Self works in perfect harmony with my Rational Mind and together they offer wisdom and guidance to my emotional and instinctual Lower Self.  ,positive,,Translated:  My Higher Self works in perfect harmony with my Rational Mind and together they offer wisdom and guidance to my emotional and instinctual Lower Self.   to bg
,,,I use my eidetic memory to learn and to teach.  ,positive,,Translated: I use my eidetic memory to learn and to teach.   to bg
,,, I am tolerant of the beliefs and cultures of other people.  ,positive,,Translated:  I am tolerant of the beliefs and cultures of other people.   to bg
,,," My good-will is a strong tower around me. I now transmute all enemies into friends, and injustice into justice, and all disharmony into harmony.  ",positive,,"Translated:  My good-will is a strong tower around me. I now transmute all enemies into friends, and injustice into justice, and all disharmony into harmony.   to bg"
,,, I always give more than what is asked of expected of me.  ,positive,,Translated:  I always give more than what is asked of expected of me.   to bg
,,,I live in the present.  ,positive,,Translated: I live in the present.   to bg
,,, I recognize that all separation is an illusion.  ,positive,,Translated:  I recognize that all separation is an illusion.   to bg
,,, I fear nothing.  ,positive,,Translated:  I fear nothing.   to bg
,,, I have worked out all my personal desires and repressions in order to become a willing medium for the masters.  ,positive,,Translated:  I have worked out all my personal desires and repressions in order to become a willing medium for the masters.   to bg
,,," I maintain scrupulous cleanliness of my physical body, steady emotions in my emotional body, and purity of thought in my mental body.  ",positive,,"Translated:  I maintain scrupulous cleanliness of my physical body, steady emotions in my emotional body, and purity of thought in my mental body.   to bg"
,,, I stand firm and unmoved no matter what occurs.  ,positive,,Translated:  I stand firm and unmoved no matter what occurs.   to bg
,,,"I take full responsibility for my reality, a product of my actions, thoughts, and deeds.  ",positive,,"Translated: I take full responsibility for my reality, a product of my actions, thoughts, and deeds.   to bg"
,,, I live a life dedicated to the service-of-others.  ,positive,,Translated:  I live a life dedicated to the service-of-others.   to bg
,,," I am God, the Alpha and the Omega; The most powerful thing to ever set foot on this planet.  ",positive,,"Translated:  I am God, the Alpha and the Omega; The most powerful thing to ever set foot on this planet.   to bg"
,,, I love and accept myself.  ,positive,,Translated:  I love and accept myself.   to bg
,,, Every day I make all the money I need for a comfortable future.  ,positive,,Translated:  Every day I make all the money I need for a comfortable future.   to bg
,,, My twin flame is rapidly approaching to make a family.  ,positive,,Translated:  My twin flame is rapidly approaching to make a family.   to bg
,,, I am the architect of my life; I build its foundation and choose its contents.  ,positive,,Translated:  I am the architect of my life; I build its foundation and choose its contents.   to bg
,,,"Today, I am brimming with energy and overflowing with joy.  ",positive,,"Translated: Today, I am brimming with energy and overflowing with joy.   to bg"
,,,My body is healthy; my mind is brilliant; my soul is tranquil.  ,positive,,Translated: My body is healthy; my mind is brilliant; my soul is tranquil.   to bg
,,, I am superior to negative thoughts and low actions.  ,positive,,Translated:  I am superior to negative thoughts and low actions.   to bg
,,, I have been given endless talents which I begin to utilize today.  ,positive,,Translated:  I have been given endless talents which I begin to utilize today.   to bg
,,, I forgive those who have harmed me in my past and peacefully detach from them.  ,positive,,Translated:  I forgive those who have harmed me in my past and peacefully detach from them.   to bg
,,, A river of compassion washes away my anger and replaces it with love.  ,positive,,Translated:  A river of compassion washes away my anger and replaces it with love.   to bg
,,,I am guided in my every step by my Future Higher Self who leads me towards what I must know and do.  ,positive,,Translated: I am guided in my every step by my Future Higher Self who leads me towards what I must know and do.   to bg
,,," My understanding is becoming stronger, deeper, and more stable each day.  ",positive,,"Translated:  My understanding is becoming stronger, deeper, and more stable each day.   to bg"
,,,I possess the qualities needed to be extremely successful.  ,positive,,Translated: I possess the qualities needed to be extremely successful.   to bg
,,," My businesses are growing, expanding, and thriving.  ",positive,,"Translated:  My businesses are growing, expanding, and thriving.   to bg"
,,, Creative energy surges through me and leads me to new and brilliant ideas.  ,positive,,Translated:  Creative energy surges through me and leads me to new and brilliant ideas.   to bg
,,, Happiness is a choice. I base my happiness on my own   accomplishments and the blessings I’ve been given.  ,positive,,Translated:  Happiness is a choice. I base my happiness on my own   accomplishments and the blessings I’ve been given.   to bg
,,,My ability to conquer my challenges is limitless; my potential to succeed is infinite.  ,positive,,Translated: My ability to conquer my challenges is limitless; my potential to succeed is infinite.   to bg
