Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation
,,,Being happy with myself is a normal part of my every day life,positive,,Translated: Being happy with myself is a normal part of my every day life to bg,Translated: Being happy with myself is a normal part of my every day life to hr
,,,I find it easy to be confident and comfortable with who I am,positive,,Translated: I find it easy to be confident and comfortable with who I am to bg,Translated: I find it easy to be confident and comfortable with who I am to hr
,,,Accepting myself unconditionally gives me the power to succeed,positive,,Translated: Accepting myself unconditionally gives me the power to succeed to bg,Translated: Accepting myself unconditionally gives me the power to succeed to hr
,,,I know I have the right to be happy and nothing can take that away from me,positive,,Translated: I know I have the right to be happy and nothing can take that away from me to bg,Translated: I know I have the right to be happy and nothing can take that away from me to hr
,,,Loving myself and being happy with who I am comes naturally to me,positive,,Translated: Loving myself and being happy with who I am comes naturally to me to bg,Translated: Loving myself and being happy with who I am comes naturally to me to hr
,,,I truly like myself and this helps others to accept me for who I am,positive,,Translated: I truly like myself and this helps others to accept me for who I am to bg,Translated: I truly like myself and this helps others to accept me for who I am to hr
,,,I have a natural awareness of all the positive things in my life,positive,,Translated: I have a natural awareness of all the positive things in my life to bg,Translated: I have a natural awareness of all the positive things in my life to hr
,,,"I FEEL CAPABLE, WORTHY AND STRONG",positive,,"Translated: I FEEL CAPABLE, WORTHY AND STRONG to bg","Translated: I FEEL CAPABLE, WORTHY AND STRONG to hr"
,,,ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME,positive,,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to bg,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to hr
,,,I FEEL CONFIDENT IN MYSELF,positive,,Translated: I FEEL CONFIDENT IN MYSELF to bg,Translated: I FEEL CONFIDENT IN MYSELF to hr
,,,I am confident,positive,,Translated: I am confident to bg,Translated: I am confident to hr
,,,I am strong and powerful,positive,,Translated: I am strong and powerful to bg,Translated: I am strong and powerful to hr
,,,I boldly go after what I want in life,positive,,Translated: I boldly go after what I want in life to bg,Translated: I boldly go after what I want in life to hr
,,,I am outgoing and confident in social situations,positive,,Translated: I am outgoing and confident in social situations to bg,Translated: I am outgoing and confident in social situations to hr
,,,I believe in myself,positive,,Translated: I believe in myself to bg,Translated: I believe in myself to hr
,,,I always stand up for myself and my beliefs,positive,,Translated: I always stand up for myself and my beliefs to bg,Translated: I always stand up for myself and my beliefs to hr
,,,I confidently meet any challenge,positive,,Translated: I confidently meet any challenge to bg,Translated: I confidently meet any challenge to hr
,,,I confidently speak my mind without hesitation,positive,,Translated: I confidently speak my mind without hesitation to bg,Translated: I confidently speak my mind without hesitation to hr
,,,Others look up to me as a leader because of my confidence,positive,,Translated: Others look up to me as a leader because of my confidence to bg,Translated: Others look up to me as a leader because of my confidence to hr
,,,I always express my thoughts and opinions with confidence,positive,,Translated: I always express my thoughts and opinions with confidence to bg,Translated: I always express my thoughts and opinions with confidence to hr
,,,I AM CONFIDENT AND FILLED WITH STRENGTH,positive,,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to bg,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to hr
,,,I BREATHE AND MOVE WITH CONFIDENCE,positive,,Translated: I BREATHE AND MOVE WITH CONFIDENCE to bg,Translated: I BREATHE AND MOVE WITH CONFIDENCE to hr
,,,MY CONFIDENCE EMPOWERS ME TO DREAM BIG,positive,,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to bg,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to hr
,,,I will become confident,positive,,Translated: I will become confident to bg,Translated: I will become confident to hr
,,,My confidence is increasing,positive,,Translated: My confidence is increasing to bg,Translated: My confidence is increasing to hr
,,,I will always believe in myself and my ability to succeed,positive,,Translated: I will always believe in myself and my ability to succeed to bg,Translated: I will always believe in myself and my ability to succeed to hr
,,,"Every day I become more confident, powerful, and assertive",positive,,"Translated: Every day I become more confident, powerful, and assertive to bg","Translated: Every day I become more confident, powerful, and assertive to hr"
,,,I am becoming more sure of myself with each passing day,positive,,Translated: I am becoming more sure of myself with each passing day to bg,Translated: I am becoming more sure of myself with each passing day to hr
,,,I am finding it easier to have confidence in myself,positive,,Translated: I am finding it easier to have confidence in myself to bg,Translated: I am finding it easier to have confidence in myself to hr
,,,I am starting to confidently assert my thoughts and opinions,positive,,Translated: I am starting to confidently assert my thoughts and opinions to bg,Translated: I am starting to confidently assert my thoughts and opinions to hr
,,,I will always meet a difficult challenge with confident action,positive,,Translated: I will always meet a difficult challenge with confident action to bg,Translated: I will always meet a difficult challenge with confident action to hr
,,,I am transforming into someone who always stands up for what they believe in,positive,,Translated: I am transforming into someone who always stands up for what they believe in to bg,Translated: I am transforming into someone who always stands up for what they believe in to hr
,,,Others are starting to notice my self confidence,positive,,Translated: Others are starting to notice my self confidence to bg,Translated: Others are starting to notice my self confidence to hr
,,,"I FEEL CONFIDENT, STRONG AND EMPOWERED",positive,,"Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to bg","Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to hr"
,,,My confidence strengthens me,positive,,Translated: My confidence strengthens me to bg,Translated: My confidence strengthens me to hr
,,,THOUGHTS OF CONFIDENCE MAKE ME STRONGER,positive,,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to bg,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to hr
,,,MY CONFIDENCE EMPOWERS ME,positive,,Translated: MY CONFIDENCE EMPOWERS ME to bg,Translated: MY CONFIDENCE EMPOWERS ME to hr
,,,I am naturally confident,positive,,Translated: I am naturally confident to bg,Translated: I am naturally confident to hr
,,,I have unbreakable confidence within myself,positive,,Translated: I have unbreakable confidence within myself to bg,Translated: I have unbreakable confidence within myself to hr
,,,My confidence commands respect and attention,positive,,Translated: My confidence commands respect and attention to bg,Translated: My confidence commands respect and attention to hr
,,,I enjoy being confident and outgoing in social situations,positive,,Translated: I enjoy being confident and outgoing in social situations to bg,Translated: I enjoy being confident and outgoing in social situations to hr
,,,I impress others with my confident assertiveness,positive,,Translated: I impress others with my confident assertiveness to bg,Translated: I impress others with my confident assertiveness to hr
,,,Confidence empowers me to take action and live life to the fullest,positive,,Translated: Confidence empowers me to take action and live life to the fullest to bg,Translated: Confidence empowers me to take action and live life to the fullest to hr
,,,"When I see something I want, I just go for it without hesitation",positive,,"Translated: When I see something I want, I just go for it without hesitation to bg","Translated: When I see something I want, I just go for it without hesitation to hr"
,,,Developing confidence will improve my life,positive,,Translated: Developing confidence will improve my life to bg,Translated: Developing confidence will improve my life to hr
,,,"Feeling confident, assured, and strong is a normal part of my every day life",positive,,"Translated: Feeling confident, assured, and strong is a normal part of my every day life to bg","Translated: Feeling confident, assured, and strong is a normal part of my every day life to hr"
,,,I SHOW CONFIDENCE IN ALL THAT I DO,positive,,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to bg,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to hr
,,,MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS,positive,,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to bg,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to hr
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to hr"
,,,"I AM HAPPY, SMILING, AND ALWAYS HAVING FUN",positive,,"Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to bg","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to hr"
,,,MY HAPPINESS IS CONTAGIOUS,positive,,Translated: MY HAPPINESS IS CONTAGIOUS to bg,Translated: MY HAPPINESS IS CONTAGIOUS to hr
,,,I am a great person,positive,,Translated: I am a great person to bg,Translated: I am a great person to hr
,,,I respect myself deeply,positive,,Translated: I respect myself deeply to bg,Translated: I respect myself deeply to hr
,,,My thoughts and opinions are valuable,positive,,Translated: My thoughts and opinions are valuable to bg,Translated: My thoughts and opinions are valuable to hr
,,,I am confident that I can achieve anything,positive,,Translated: I am confident that I can achieve anything to bg,Translated: I am confident that I can achieve anything to hr
,,,I have something special to offer the world,positive,,Translated: I have something special to offer the world to bg,Translated: I have something special to offer the world to hr
,,,Others like and respect me,positive,,Translated: Others like and respect me to bg,Translated: Others like and respect me to hr
,,,I am a wonderful human being,positive,,Translated: I am a wonderful human being to bg,Translated: I am a wonderful human being to hr
,,,I feel great about myself and my life,positive,,Translated: I feel great about myself and my life to bg,Translated: I feel great about myself and my life to hr
,,,"I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER",positive,,"Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to bg","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to hr"
,,,"EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE",positive,,"Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to bg","Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to hr"
,,,HAPPINESS AND EMOTIONS OF JOY OVERWHELM ME,positive,,Translated: HAPPINESS AND EMOTIONS OF JOY OVERWHELM ME to bg,Translated: HAPPINESS AND EMOTIONS OF JOY OVERWHELM ME to hr
,,,I will succeed,positive,,Translated: I will succeed to bg,Translated: I will succeed to hr
,,,I will always love and respect myself,positive,,Translated: I will always love and respect myself to bg,Translated: I will always love and respect myself to hr
,,,My self esteem is growing,positive,,Translated: My self esteem is growing to bg,Translated: My self esteem is growing to hr
,,,Each day I believe in myself more and more,positive,,Translated: Each day I believe in myself more and more to bg,Translated: Each day I believe in myself more and more to hr
,,,My self image is starting to improve,positive,,Translated: My self image is starting to improve to bg,Translated: My self image is starting to improve to hr
,,,I will always think positively about myself,positive,,Translated: I will always think positively about myself to bg,Translated: I will always think positively about myself to hr
,,,I will achieve whatever I put my mind to,positive,,Translated: I will achieve whatever I put my mind to to bg,Translated: I will achieve whatever I put my mind to to hr
,,,I am starting to feel more confident in myself,positive,,Translated: I am starting to feel more confident in myself to bg,Translated: I am starting to feel more confident in myself to hr
,,,"My Confidence, self esteem, and self belief are increasing with each day",positive,,"Translated: My Confidence, self esteem, and self belief are increasing with each day to bg","Translated: My Confidence, self esteem, and self belief are increasing with each day to hr"
,,,I am transforming into someone who is happy and positive,positive,,Translated: I am transforming into someone who is happy and positive to bg,Translated: I am transforming into someone who is happy and positive to hr
,,,I choose partners who uplift and support me.,positive,,Translated: I choose partners who uplift and support me. to bg,Translated: I choose partners who uplift and support me. to hr
,,,I am surrounded by love and kindness.,positive,,Translated: I am surrounded by love and kindness. to bg,Translated: I am surrounded by love and kindness. to hr
,,,"My heart is open to love, and I attract it effortlessly.",positive,,"Translated: My heart is open to love, and I attract it effortlessly. to bg","Translated: My heart is open to love, and I attract it effortlessly. to hr"
,,,I am grateful for the love in my life.,positive,,Translated: I am grateful for the love in my life. to bg,Translated: I am grateful for the love in my life. to hr
,,,I believe in myself,positive,,Translated: I believe in myself to bg,Translated: I believe in myself to hr
,,,I deserve to feel good about myself,positive,,Translated: I deserve to feel good about myself to bg,Translated: I deserve to feel good about myself to hr
,,,I know I can achieve anything,positive,,Translated: I know I can achieve anything to bg,Translated: I know I can achieve anything to hr
,,,Having respect for myself helps others to like and respect me,positive,,Translated: Having respect for myself helps others to like and respect me to bg,Translated: Having respect for myself helps others to like and respect me to hr
,,,Feeling good about myself is normal for me,positive,,Translated: Feeling good about myself is normal for me to bg,Translated: Feeling good about myself is normal for me to hr
,,,Improving my self esteem is very important,positive,,Translated: Improving my self esteem is very important to bg,Translated: Improving my self esteem is very important to hr
,,,Being confident in myself comes naturally to me,positive,,Translated: Being confident in myself comes naturally to me to bg,Translated: Being confident in myself comes naturally to me to hr
,,,Liking and respecting myself is easy,positive,,Translated: Liking and respecting myself is easy to bg,Translated: Liking and respecting myself is easy to hr
,,,Speaking my mind with confidence is something I just naturally do,positive,,Translated: Speaking my mind with confidence is something I just naturally do to bg,Translated: Speaking my mind with confidence is something I just naturally do to hr
,,,MY EXPERIENCES IN LIFE MAKE ME FEEL HAPPY,,,Translated: MY EXPERIENCES IN LIFE MAKE ME FEEL HAPPY to bg,Translated: MY EXPERIENCES IN LIFE MAKE ME FEEL HAPPY to hr
,,,I SPEND MY DAYS IN JOY,positive,,Translated: I SPEND MY DAYS IN JOY to bg,Translated: I SPEND MY DAYS IN JOY to hr
,,,I WELCOME THE DAY WITH A SMILE ON MY FACE,positive,,Translated: I WELCOME THE DAY WITH A SMILE ON MY FACE to bg,Translated: I WELCOME THE DAY WITH A SMILE ON MY FACE to hr
,,,I always succeed,positive,,Translated: I always succeed to bg,Translated: I always succeed to hr
,,,I am confident,positive,,Translated: I am confident to bg,Translated: I am confident to hr
,,,I achieve massive success,positive,,Translated: I achieve massive success to bg,Translated: I achieve massive success to hr
,,,I am capable of reaching any goal,positive,,Translated: I am capable of reaching any goal to bg,Translated: I am capable of reaching any goal to hr
,,,I am ready for anything,positive,,Translated: I am ready for anything to bg,Translated: I am ready for anything to hr
,,,I am always positive,positive,,Translated: I am always positive to bg,Translated: I am always positive to hr
,,,My mind is completely focused on success,positive,,Translated: My mind is completely focused on success to bg,Translated: My mind is completely focused on success to hr
,,,I am able to handle whatever life brings my way,positive,,Translated: I am able to handle whatever life brings my way to bg,Translated: I am able to handle whatever life brings my way to hr
,,,I am a beautiful person,positive,,Translated: I am a beautiful person to bg,Translated: I am a beautiful person to hr
,,,Others see me as confident and successful,positive,,Translated: Others see me as confident and successful to bg,Translated: Others see me as confident and successful to hr
,,,I am open to giving and receiving love.,positive,,Translated: I am open to giving and receiving love. to bg,Translated: I am open to giving and receiving love. to hr
,,,My relationships are based on mutual respect and understanding.,positive,,Translated: My relationships are based on mutual respect and understanding. to bg,Translated: My relationships are based on mutual respect and understanding. to hr
,,,I attract positive and healthy relationships.,positive,,Translated: I attract positive and healthy relationships. to bg,Translated: I attract positive and healthy relationships. to hr
,,,I am deserving of deep and meaningful connections.,positive,,Translated: I am deserving of deep and meaningful connections. to bg,Translated: I am deserving of deep and meaningful connections. to hr
,,,I will develop an unshakeable self belief,positive,,Translated: I will develop an unshakeable self belief to bg,Translated: I will develop an unshakeable self belief to hr
,,,Each day I feel more powerful and capable,positive,,Translated: Each day I feel more powerful and capable to bg,Translated: Each day I feel more powerful and capable to hr
,,,I am transforming into someone who can achieve anything,positive,,Translated: I am transforming into someone who can achieve anything to bg,Translated: I am transforming into someone who can achieve anything to hr
,,,I will achieve whatever I set my mind to,positive,,Translated: I will achieve whatever I set my mind to to bg,Translated: I will achieve whatever I set my mind to to hr
,,,I am starting to feel more and more confident in my abilities,positive,,Translated: I am starting to feel more and more confident in my abilities to bg,Translated: I am starting to feel more and more confident in my abilities to hr
,,,"I will always love, respect, and believe in myself unconditionally",positive,,"Translated: I will always love, respect, and believe in myself unconditionally to bg","Translated: I will always love, respect, and believe in myself unconditionally to hr"
,,,Self belief is transforming me into a highly successful person,positive,,Translated: Self belief is transforming me into a highly successful person to bg,Translated: Self belief is transforming me into a highly successful person to hr
,,,Others are beginning to notice my confident attitude,positive,,Translated: Others are beginning to notice my confident attitude to bg,Translated: Others are beginning to notice my confident attitude to hr
,,,Developing self belief will help me to achieve my goals,positive,,Translated: Developing self belief will help me to achieve my goals to bg,Translated: Developing self belief will help me to achieve my goals to hr
,,,I BRING SUNSHINE TO MY DAYS,positive,,Translated: I BRING SUNSHINE TO MY DAYS to bg,Translated: I BRING SUNSHINE TO MY DAYS to hr
,,,MY HEART IS A HAPPY HEART,positive,,Translated: MY HEART IS A HAPPY HEART to bg,Translated: MY HEART IS A HAPPY HEART to hr
,,,JOY BELONGS TO ME,positive,,Translated: JOY BELONGS TO ME to bg,Translated: JOY BELONGS TO ME to hr
,,,I believe in myself completely,positive,,Translated: I believe in myself completely to bg,Translated: I believe in myself completely to hr
,,,Achieving success is normal for me,positive,,Translated: Achieving success is normal for me to bg,Translated: Achieving success is normal for me to hr
,,,Self belief comes naturally to me,positive,,Translated: Self belief comes naturally to me to bg,Translated: Self belief comes naturally to me to hr
,,,I believe that I can achieve anything I want,positive,,Translated: I believe that I can achieve anything I want to bg,Translated: I believe that I can achieve anything I want to hr
,,,Others see me as a highly capable person,positive,,Translated: Others see me as a highly capable person to bg,Translated: Others see me as a highly capable person to hr
,,,I am the kind of person who confidently goes after success,positive,,Translated: I am the kind of person who confidently goes after success to bg,Translated: I am the kind of person who confidently goes after success to hr
,,,It is normal for me to feel great about myself,positive,,Translated: It is normal for me to feel great about myself to bg,Translated: It is normal for me to feel great about myself to hr
,,,I find it easy to pursue my goals with confidence,positive,,Translated: I find it easy to pursue my goals with confidence to bg,Translated: I find it easy to pursue my goals with confidence to hr
,,,I am a high achiever,positive,,Translated: I am a high achiever to bg,Translated: I am a high achiever to hr
,,,I always find a way to succeed,positive,,Translated: I always find a way to succeed to bg,Translated: I always find a way to succeed to hr
,,,"EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE",positive,,"Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to bg","Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to hr"
,,,HAPPINESS FOLLOWS ME WHEREVER I GO,positive,,Translated: HAPPINESS FOLLOWS ME WHEREVER I GO to bg,Translated: HAPPINESS FOLLOWS ME WHEREVER I GO to hr
,,,I EMBRACE HAPPINESS,positive,,Translated: I EMBRACE HAPPINESS to bg,Translated: I EMBRACE HAPPINESS to hr
,,,I am beautiful on the inside and out,positive,,Translated: I am beautiful on the inside and out to bg,Translated: I am beautiful on the inside and out to hr
,,,I am comfortable with who I am,positive,,Translated: I am comfortable with who I am to bg,Translated: I am comfortable with who I am to hr
,,,I am 100% sure of myself,positive,,Translated: I am 100% sure of myself to bg,Translated: I am 100% sure of myself to hr
,,,I am a natural beauty,positive,,Translated: I am a natural beauty to bg,Translated: I am a natural beauty to hr
,,,I am confident,positive,,Translated: I am confident to bg,Translated: I am confident to hr
,,,I am free of negativity,positive,,Translated: I am free of negativity to bg,Translated: I am free of negativity to hr
,,,I find it easy to think positive,positive,,Translated: I find it easy to think positive to bg,Translated: I find it easy to think positive to hr
,,,I can see true beauty in myself,positive,,Translated: I can see true beauty in myself to bg,Translated: I can see true beauty in myself to hr
,,,I am healthy and attractive,positive,,Translated: I am healthy and attractive to bg,Translated: I am healthy and attractive to hr
,,,I am beautiful just the way I am,positive,,Translated: I am beautiful just the way I am to bg,Translated: I am beautiful just the way I am to hr
,,,"I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER",positive,,"Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to bg","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to hr"
,,,I KEEP MY MIND FOCUSED ON HAPPINESS,positive,,Translated: I KEEP MY MIND FOCUSED ON HAPPINESS to bg,Translated: I KEEP MY MIND FOCUSED ON HAPPINESS to hr
,,,"I AM HAPPY, SMILING, AND ALWAYS HAVING FUN",positive,,"Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to bg","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to hr"
,,,I am becoming more comfortable in my own skin by the day,positive,,Translated: I am becoming more comfortable in my own skin by the day to bg,Translated: I am becoming more comfortable in my own skin by the day to hr
,,,I will become free of negativity,positive,,Translated: I will become free of negativity to bg,Translated: I will become free of negativity to hr
,,,I am finding myself more confident each day,positive,,Translated: I am finding myself more confident each day to bg,Translated: I am finding myself more confident each day to hr
,,,I am turning into someone who sees themselves as beautiful,positive,,Translated: I am turning into someone who sees themselves as beautiful to bg,Translated: I am turning into someone who sees themselves as beautiful to hr
,,,I will be proud of my beautiful body,positive,,Translated: I will be proud of my beautiful body to bg,Translated: I will be proud of my beautiful body to hr
,,,I will recoginize that I have true beauty,positive,,Translated: I will recoginize that I have true beauty to bg,Translated: I will recoginize that I have true beauty to hr
,,,I will see myself as beautiful,positive,,Translated: I will see myself as beautiful to bg,Translated: I will see myself as beautiful to hr
,,,I am turning into a natural beauty,positive,,Translated: I am turning into a natural beauty to bg,Translated: I am turning into a natural beauty to hr
,,,I am transforming into a positive thinker,positive,,Translated: I am transforming into a positive thinker to bg,Translated: I am transforming into a positive thinker to hr
,,,I will be 100% internally validated,positive,,Translated: I will be 100% internally validated to bg,Translated: I will be 100% internally validated to hr
,,,I make the right choices every time,positive,,Translated: I make the right choices every time to bg,Translated: I make the right choices every time to hr
,,,I draw from my inner strength and light.,positive,,Translated: I draw from my inner strength and light. to bg,Translated: I draw from my inner strength and light. to hr
,,, I trust myself.,positive,,Translated:  I trust myself. to bg,Translated:  I trust myself. to hr
,,,I am comfortable in my own skin,positive,,Translated: I am comfortable in my own skin to bg,Translated: I am comfortable in my own skin to hr
,,,I find positive thinking easy,positive,,Translated: I find positive thinking easy to bg,Translated: I find positive thinking easy to hr
,,,I know I have an attractive and beautiful body,positive,,Translated: I know I have an attractive and beautiful body to bg,Translated: I know I have an attractive and beautiful body to hr
,,,When I look in the mirror I see nothing but pure beauty,positive,,Translated: When I look in the mirror I see nothing but pure beauty to bg,Translated: When I look in the mirror I see nothing but pure beauty to hr
,,,Feeling good about who I am is my natural rite,positive,,Translated: Feeling good about who I am is my natural rite to bg,Translated: Feeling good about who I am is my natural rite to hr
,,,I have an unshakeable belief in my beauty,positive,,Translated: I have an unshakeable belief in my beauty to bg,Translated: I have an unshakeable belief in my beauty to hr
,,,I enjoy being beautiful,positive,,Translated: I enjoy being beautiful to bg,Translated: I enjoy being beautiful to hr
,,,People are always saying how beautiful I am,positive,,Translated: People are always saying how beautiful I am to bg,Translated: People are always saying how beautiful I am to hr
,,,People look up to me as a source of beauty,positive,,Translated: People look up to me as a source of beauty to bg,Translated: People look up to me as a source of beauty to hr
,,,I am worthy of seeing myself as beautiful,positive,,Translated: I am worthy of seeing myself as beautiful to bg,Translated: I am worthy of seeing myself as beautiful to hr
,,,Following my intuition and my heart keeps me safe and sound.,positive,,Translated: Following my intuition and my heart keeps me safe and sound. to bg,Translated: Following my intuition and my heart keeps me safe and sound. to hr
,,, I honor virtue.  ,positive,,Translated:  I honor virtue.   to bg,Translated:  I honor virtue.   to hr
,,, I benefit from gratitude.  ,positive,,Translated:  I benefit from gratitude.   to bg,Translated:  I benefit from gratitude.   to hr
,,,I am peaceful.  ,positive,,Translated: I am peaceful.   to bg,Translated: I am peaceful.   to hr
,,, respect the property of others.  ,positive,,Translated:  respect the property of others.   to bg,Translated:  respect the property of others.   to hr
,,, I affirm all life is sacred.  ,positive,,Translated:  I affirm all life is sacred.   to bg,Translated:  I affirm all life is sacred.   to hr
,,,I give offerings that are genuine.  ,positive,,Translated: I give offerings that are genuine.   to bg,Translated: I give offerings that are genuine.   to hr
,,,I live in truth.  ,positive,,Translated: I live in truth.   to bg,Translated: I live in truth.   to hr
,,,I regard all alters with respect.  ,positive,,Translated: I regard all alters with respect.   to bg,Translated: I regard all alters with respect.   to hr
,,,I speak with sincerity.  ,positive,,Translated: I speak with sincerity.   to bg,Translated: I speak with sincerity.   to hr
